878,KHOTANG,Ainselukhark,Gaunpalika,1
889,KHOTANG,Halesi Tuwachung,Nagarpalika,1
893,KHOTANG,Barahapokhari,Gaunpalika,1
922,KHOTANG,Lamidanda,Gaunpalika,1
936,KHOTANG,Diprung,Gaunpalika,1
937,KHOTANG,Rupakot Majhuwagadhi,Nagarpalika,1
941,KHOTANG,Kepilasagadhi,Gaunpalika,1
942,KHOTANG,Sakela,Gaunpalika,1
945,KHOTANG,Jantedhunga,Gaunpalika,1
947,KHOTANG,Khotehang,Gaunpalika,1
954,LAMJUNG,MadhyaNepal,Nagarpalika,1
957,LAMJUNG,Sundarbazar,Nagarpalika,1
966,LAMJUNG,Rainas,Nagarpalika,1
967,LAMJUNG,Dordi,Gaunpalika,1
974,LAMJUNG,Kwholasothar,Gaunpalika,1
992,LAMJUNG,Dudhpokhari,Gaunpalika,1
1012,LAMJUNG,Besishahar,Nagarpalika,1
1022,LAMJUNG,Marsyangdi,Gaunpalika,1
1029,MANANG,Chame,Gaunpalika,1
1031,MANANG,Nashong,Gaunpalika,1
1039,MANANG,Narphu,Gaunpalika,1
1043,MANANG,Neshyang,Gaunpalika,1
1074,MUGU,Soru,Gaunpalika,1
1087,MUGU,Khatyad,Gaunpalika,1
1091,MUGU,Chhayanath Rara,Nagarpalika,1
1095,MUGU,Mugum Karmarong,Gaunpalika,1
1103,MYAGDI,Raghuganga,Gaunpalika,1
1110,MYAGDI,Annapurna,Gaunpalika,1
1119,MYAGDI,Malika,Gaunpalika,1
1125,MYAGDI,Beni,Nagarpalika,1
1134,MYAGDI,Mangala,Gaunpalika,1
1143,MYAGDI,Dhaulagiri,Gaunpalika,1
1145,OKHALDHUNGA,Sunkoshi,Gaunpalika,1
1172,OKHALDHUNGA,Chisankhugadhi,Gaunpalika,1
1173,OKHALDHUNGA,Molung,Gaunpalika,1
1178,OKHALDHUNGA,Manebhanjyang,Gaunpalika,1
1185,OKHALDHUNGA,Champadevi,Gaunpalika,1
1196,OKHALDHUNGA,Khijidemba,Gaunpalika,1
1206,OKHALDHUNGA,Likhu,Gaunpalika,1
1212,OKHALDHUNGA,Siddhicharan,Nagarpalika,1
1220,PANCHTHAR,Hilihang,Gaunpalika,1
1223,PANCHTHAR,Tumbewa,Gaunpalika,1
1228,PANCHTHAR,Yangwarak,Gaunpalika,1
1244,PANCHTHAR,Falgunanda,Gaunpalika,1
1252,PANCHTHAR,Phidim,Nagarpalika,1
1260,PANCHTHAR,Miklajung,Gaunpalika,1
1269,PANCHTHAR,Kummayak,Gaunpalika,1
1275,PANCHTHAR,Falelung,Gaunpalika,1
1286,PARBAT,Bihadi,Gaunpalika,1
1291,PARBAT,Jaljala,Gaunpalika,1
1297,PARBAT,Modi,Gaunpalika,1
1304,PARBAT,Mahashila,Gaunpalika,1
1307,PARBAT,Phalebas,Nagarpalika,1
1318,PARBAT,Kushma,Nagarpalika,1
1334,PARBAT,Painyu,Gaunpalika,1
1342,PYUTHAN,Gaumukhi,Gaunpalika,1
1345,PYUTHAN,Jhimruk,Gaunpalika,1
1356,PYUTHAN,Mallarani,Gaunpalika,1
1359,PYUTHAN,Pyuthan,Nagarpalika,1
1371,PYUTHAN,Sworgadwary,Nagarpalika,1
1392,PYUTHAN,Naubahini,Gaunpalika,1
1393,PYUTHAN,Mandavi,Gaunpalika,1
1397,PYUTHAN,Sarumarani,Gaunpalika,1
1400,PYUTHAN,Ayirabati,Gaunpalika,1
1407,RASUWA,Uttargaya,Gaunpalika,1
1411,RASUWA,Parbati Kunda,Gaunpalika,1
1414,RASUWA,Kalika,Gaunpalika,1
1417,RASUWA,Gosaikunda,Gaunpalika,1
1431,RASUWA,Naukunda,Gaunpalika,1
1439,RUKUM_E,Bhume,Gaunpalika,1
1453,RUKUM_E,Sisne,Gaunpalika,1
1460,RUKUM_E,Putha Uttarganga,Gaunpalika,1
1479,RUKUM_W,Chaurjahari,Nagarpalika,1
1513,RUKUM_W,Musikot,Nagarpalika,1
1523,RUKUM_W,Banfikot,Gaunpalika,1
1526,RUKUM_W,Sani Bheri,Gaunpalika,1
1527,RUKUM_W,Tribeni,Gaunpalika,1
1536,RUKUM_W,Aathbiskot,Nagarpalika,1
1538,SALYAN,Kalimati,Gaunpalika,1
1544,SALYAN,Dhorchaur,Gaunpalika,1
1553,SALYAN,Chhatreshwori,Gaunpalika,1
1557,SALYAN,Darma,Gaunpalika,1
1559,SALYAN,Bangad Kupinde,Nagarpalika,1
1569,SALYAN,Tribeni,Gaunpalika,1
1581,SALYAN,Sharada,Nagarpalika,1
1598,SALYAN,Kapurkot,Gaunpalika,1
1608,SALYAN,Kumakhmalika,Gaunpalika,1
1611,SALYAN,Bagchaur,Nagarpalika,1
1622,SANKHUWASABHA,Chainpur,Nagarpalika,1
1628,SANKHUWASABHA,Bhotkhola,Gaunpalika,1
1635,SANKHUWASABHA,Sabhapokhari,Gaunpalika,1
1643,SANKHUWASABHA,Panchakhapan,Nagarpalika,1
1653,SANKHUWASABHA,Madi,Nagarpalika,1
1659,SANKHUWASABHA,Khandbari,Nagarpalika,1
1670,SANKHUWASABHA,Dharmadevi,Nagarpalika,1
1675,SANKHUWASABHA,Chichila,Gaunpalika,1
1687,SANKHUWASABHA,Makalu,Gaunpalika,1
1702,SANKHUWASABHA,Silichong,Gaunpalika,1
1712,SOLUKHUMBU,Likhupike,Gaunpalika,1
1718,SOLUKHUMBU,Dudhkaushika,Gaunpalika,1
1721,SOLUKHUMBU,Sotang,Gaunpalika,1
1726,SOLUKHUMBU,Nechasalyan,Gaunpalika,1
1731,SOLUKHUMBU,Khumbupasanglahmu,Gaunpalika,1
1735,SOLUKHUMBU,Solududhakunda,Nagarpalika,1
1743,SOLUKHUMBU,Dudhkoshi,Gaunpalika,1
1748,SOLUKHUMBU,Mahakulung,Gaunpalika,1
1763,TAPLEJUNG,Maiwakhola,Gaunpalika,1
1771,TAPLEJUNG,Sidingba,Gaunpalika,1
1775,TAPLEJUNG,Mikwakhola,Gaunpalika,1
1784,TAPLEJUNG,Yangwarak,Gaunpalika,1
1785,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1
1797,TAPLEJUNG,Phungling,Nagarpalika,1
1805,TAPLEJUNG,Phaktanglung,Gaunpalika,1
1807,TAPLEJUNG,Sirijangha,Gaunpalika,1
1812,TAPLEJUNG,Meringden,Gaunpalika,1
1821,TERHATHUM,Chhathar,Gaunpalika,1
1822,TERHATHUM,Laligurans,Nagarpalika,1
1840,TERHATHUM,Menchayam,Gaunpalika,1
1844,TERHATHUM,Aathrai,Gaunpalika,1
1847,TERHATHUM,Phedap,Gaunpalika,1
1854,TERHATHUM,Myanglung,Nagarpalika,1
1869,DAILEKH,Dungeshwor,Gaunpalika,1
1875,DAILEKH,Chamunda Bindrasaini,Nagarpalika,1
1897,DAILEKH,Gurans,Gaunpalika,1
1898,DAILEKH,Mahabu,Gaunpalika,1
1903,DAILEKH,Thantikandh,Gaunpalika,1
1913,DAILEKH,Narayan,Nagarpalika,1
1922,DAILEKH,Dullu,Nagarpalika,1
1926,DAILEKH,Bhagawatimai,Gaunpalika,1
1932,DAILEKH,Bhairabi,Gaunpalika,1
1936,DAILEKH,Aathabis,Nagarpalika,1
1941,DAILEKH,Naumule,Gaunpalika,1
1957,LALITPUR,Mahankal,Gaunpalika,1
1962,LALITPUR,Konjyosom,Gaunpalika,1
1969,LALITPUR,Bagmati,Gaunpalika,1
1971,LALITPUR,Godawari,Nagarpalika,1
1979,LALITPUR,Mahalaxmi,Nagarpalika,1
1984,LALITPUR,Lalitpur,Mahanagarpalika,1
2030,KAPILBASTU,Banganga,Nagarpalika,1
2057,KAPILBASTU,Bijayanagar,Gaunpalika,1
2075,KAPILBASTU,Krishnanagar,Nagarpalika,1
2081,KAPILBASTU,Maharajgunj,Nagarpalika,1
2084,KAPILBASTU,Buddhabhumi,Nagarpalika,1
2092,KAPILBASTU,Mayadevi,Gaunpalika,1
2094,KAPILBASTU,Suddhodhan,Gaunpalika,1
2107,KAPILBASTU,Shivaraj,Nagarpalika,1
2115,KAPILBASTU,Yashodhara,Gaunpalika,1
2117,KAPILBASTU,Kapilbastu,Nagarpalika,1
2121,BANKE,Rapti Sonari,Gaunpalika,1
2146,BANKE,Khajura,Gaunpalika,1
2150,BANKE,Kohalpur,Nagarpalika,1
2154,BANKE,Janki,Gaunpalika,1
2160,BANKE,Baijanath,Gaunpalika,1
2182,BANKE,Nepalgunj,Upamahanagarpalika,1
2193,BANKE,Duduwa,Gaunpalika,1
2195,BANKE,Narainapur,Gaunpalika,1
2203,CHITAWAN,Rapti,Nagarpalika,1
2218,CHITAWAN,Ratnanagar,Nagarpalika,1
2228,CHITAWAN,Bharatpur,Mahanagarpalika,1
2247,CHITAWAN,Madi,Nagarpalika,1
2262,CHITAWAN,Ichchhyakamana,Gaunpalika,1
2282,CHITAWAN,Khairahani,Nagarpalika,1
2296,CHITAWAN,Kalika,Nagarpalika,1
2299,MAKAWANPUR,Kailash,Gaunpalika,1
2303,MAKAWANPUR,Manahari,Gaunpalika,1
2311,MAKAWANPUR,Thaha,Nagarpalika,1
2317,MAKAWANPUR,Bhimphedi,Gaunpalika,1
2331,MAKAWANPUR,Hetauda,Upamahanagarpalika,1
2350,MAKAWANPUR,Makawanpurgadhi,Gaunpalika,1
2357,MAKAWANPUR,Indrasarowar,Gaunpalika,1
2373,MAKAWANPUR,Bagmati,Gaunpalika,1
2380,MAKAWANPUR,Raksirang,Gaunpalika,1
2401,MAKAWANPUR,Bakaiya,Gaunpalika,1
2411,BHAKTAPUR,Bhaktapur,Nagarpalika,1
2417,BHAKTAPUR,Suryabinayak,Nagarpalika,1
2426,BHAKTAPUR,Madhyapur Thimi,Nagarpalika,1
2439,BHAKTAPUR,Changunarayan,Nagarpalika,1
2449,TANAHU,Anbukhaireni,Gaunpalika,1
2456,TANAHU,Byas,Nagarpalika,1
2467,TANAHU,Bandipur,Gaunpalika,1
2470,TANAHU,Myagde,Gaunpalika,1
2473,TANAHU,Rhishing,Gaunpalika,1
2476,TANAHU,Devghat,Gaunpalika,1
2497,TANAHU,Shuklagandaki,Nagarpalika,1
2503,TANAHU,Ghiring,Gaunpalika,1
2504,TANAHU,Bhimad,Nagarpalika,1
2519,TANAHU,Bhanu,Nagarpalika,1
2533,ACHHAM,Panchadewal Binayak,Nagarpalika,1
2534,ACHHAM,Mangalsen,Nagarpalika,1
2537,ACHHAM,Sanphebagar,Nagarpalika,1
